Neighborhood,Latitude,Longitude
Allson,42.3529,71.1321
Back Bay,42.351294,-71.080356
Bay Village,42.3491,-71.068
Beacon Hill,42.3583,-71.0661
Brighton,42.3464,-71.1627
Charlestown,42.3782,-71.0602
Chinatown,42.3501,-71.0624
Dorchester,42.3016,-71.0676
Downtown,42.3557,-71.0572
East Boston,42.3702,-71.0389
Fenway Kenmore,42.3429,-71.1003
Hyde Park,42.2565,-71.1241
Jamaica Plain,42.3097,-71.1151
Mattapan,42.2771,-71.0914
Mission Hill,42.3296,-71.1062
North End,42.3647,-71.0542
Roslindale,42.2832,-71.1270
Roxbury,42.3152,-71.0914
South Boston,42.3381,-71.0476
South End,42.3388,-71.0765
West End,42.3644,-71.0661
West Roxbury,42.2798,-71.1627
